document_id,user_id,viewed_at,document_title,course_name,university_name,category_id,category_name,premium,rating,pages,word_count,ID,Name,Last Name,Passport Number
3344154,11589416,2020-11-30 22:58:06,Kortsvar til bedriften,Bedriften,Handelshøyskolen BI,8,Mandatory assignments,1,0,11,4757,17,Tyler,Burke,2063917507
2074307,10113876,2020-11-30 22:58:02,Personalomsorg - Notater knyttet til læringsmål og tidligere eksamensoppgaver i faget. Notatene,Personalpsykologi,Universitetet i Bergen,7,Summaries,0,0,8,2171,18,Brittany,Stafford,8005075078
2074307,10113876,2020-11-30 22:58:00,Personalomsorg - Notater knyttet til læringsmål og tidligere eksamensoppgaver i faget. Notatene,Personalpsykologi,Universitetet i Bergen,7,Summaries,0,0,8,2171,19,Sheila,Kim,9447046929
2074307,10113876,2020-11-30 22:57:53,Personalomsorg - Notater knyttet til læringsmål og tidligere eksamensoppgaver i faget. Notatene,Personalpsykologi,Universitetet i Bergen,7,Summaries,0,0,8,2171,20,Deborah,Rich,5826895448
2057305,11601338,2020-11-30 22:57:52,Sammendrag Bedriften HIS3410,Bedriften,Handelshøyskolen BI,7,,1,28,43,11852,21,Catherine,Moore,5913467767
2695140,13049904,2020-11-30 22:57:50,Eksamen 2017,Personalpsykologi,Universitetet i Bergen,4,,1,11,7,4241,22,Arthur,Smith,2752158462
2548470,11588852,2020-11-30 22:57:44,Bedriften,Bedriften,Handelshøyskolen BI,3,,1,22,28,4448,23,Ashley,Turner,6746832890
3622849,13205250,2020-11-30 22:57:36,STV1400 – OPA – Samleark 1,Offentlig politikk og administrasjon 1 (innføringsemne),Universitetet i Oslo,7,,1,7,47,6089,24,Mark,Warren,1886590146
6092770,11588852,2020-11-30 22:57:17,Web Page - arbeidskrav 5,Bedriftsøkonomisk analyse,Handelshøyskolen BI,8,,1,5,3,487,25,Edward,Benson,9935724825
7988178,11084190,2020-11-30 22:57:17,Bedriften kap 6 - Sammendrag fra kapittelet,Bedriften,Handelshøyskolen BI,7,,0,1,7,1950,26,Sheila,Miller,3243438689
9625139,10956188,2020-11-30 22:57:16,Kortsvar Sagalitteratur oppgave med skriveramme,Norsk,Videregående skole (VG),3,,0,1,2,379,27,Erica,Smith,4484327502
6008529,12027106,2020-11-30 22:56:48,Kortsvarsspørsmål til Bedriften,Bedriften,Handelshøyskolen BI,7,,0,0,57,14405,28,Angel,Higgins,9682934064
6364796,11084190,2020-11-30 22:56:41,Kapittel 6 - Bedriftsetikk,Bedriften,Handelshøyskolen BI,9,,1,1,21,1966,29,Rebekah,Lowery,5159929363
1996852,9025320,2020-11-30 22:56:40,"Moralfilosofi, Platon og aristoteles",Examen philosophicum for naturvitenskap og teknologi,Norges teknisk-naturvitenskapelige universitet,7,,1,4,3,1216,30,Sarah,Park,2457408218
2195839,9121462,2020-11-30 22:56:29,Fast eiendoms kursoppgaver,Privatrett II,Universitetet i Oslo,9,,1,2,19,6672,31,Sally,Cook,4879199678
4622994,13049904,2020-11-30 22:56:00,"Psyk 106 - Notater - Anette Harris
",Personalpsykologi,Universitetet i Bergen,3,,1,7,44,6929,32,Jessica,Smith,4597393763
323291,9025320,2020-11-30 22:55:58,"Summary -  Plato, Aristotle, Descrates, Hume, Kant",Examen philosophicum,Universitetet i Oslo,7,,1,15,64,15587,33,Justin,Silva,6084677858
4261801,11032422,2020-11-30 22:55:48,Kortsvarsspørsmål – Bedriften,Bedriften,Handelshøyskolen BI,8,,1,22,51,14802,34,Ricky,Smith,4434045213
9337851,11032422,2020-11-30 22:55:43,Bedriften kortsvarsspm,Bedriften,Handelshøyskolen BI,3,,1,50,44,13160,35,Heidi,Owens,1953244141
2042372,11032422,2020-11-30 22:55:28,Bedriften-kortsvarsspørsmål,Bedriften,Handelshøyskolen BI,7,,1,50,23,9551,36,Bethany,Turner,5945413132
4040189,13049904,2020-11-30 22:55:27,Enzymer og enzymkinetikk,Medisin og odontologi 1. studieår,Norges Arktiske Universitet,3,,0,0,7,2008,37,Gabriella,Daniels,9018179170
4040189,13049904,2020-11-30 22:55:27,Enzymer og enzymkinetikk,Medisin og odontologi 1. studieår,Norges Arktiske Universitet,3,,0,0,7,2008,38,Melissa,Maynard,362809954
3353652,12847066,2020-11-30 22:55:26,"Eksamen 2016, spørsmål",Samfunnsvitskapleg metode,Universitetet i Bergen,4,,1,-1,2,344,39,Geoffrey,Horton,8294969288
5620579,13049904,2020-11-30 22:55:23,Uke 14 Proteiner og enzymkinetikk,Medisinstudiet modul 1,Universitetet i Oslo,7,,1,4,14,1249,40,Annette,Campbell,2675367763
6557598,13000766,2020-11-30 22:55:24,Eksamensbesvarelse ExPhil - Karakter A,Examen philosophicum,Universitetet i Oslo,4,,1,5,8,1964,41,Kenneth,Lopez,8379016239
5620579,13049904,2020-11-30 22:55:23,Uke 14 Proteiner og enzymkinetikk,Medisinstudiet modul 1,Universitetet i Oslo,7,,1,4,14,1249,42,Kenneth,Cruz,6811161818
3164559,11325972,2020-11-30 22:55:02,Kortsvar 3,Bedriften,Handelshøyskolen BI,7,,1,5,3,751,43,Allison,Gould,9395712030
5613297,12027106,2020-11-30 22:53:59,Introduksjon Bedriften,Bedriften,Handelshøyskolen BI,3,,0,2,3,602,44,John,Garrett,6306721731
2685047,12499026,2020-11-30 22:52:57,Alle kapitler - Sammendrag Samfunnsvitenskapelig metode,Samfunnsvitenskapelig metode,Oslomet - storbyuniversitetet,7,,1,59,64,23568,45,Clifford,Jones,3870637025
2042372,11616900,2020-11-30 22:52:42,Bedriften-kortsvarsspørsmål,Bedriften,Handelshøyskolen BI,7,,1,50,23,9551,46,Margaret,Jenkins,5451542369
3164566,11147646,2020-11-30 22:52:41,Kortsvar oppg 5,Bedriften,Handelshøyskolen BI,7,,1,4,2,459,47,Christine,Blanchard,9565494481
2098853,12940198,2020-11-30 22:52:29,"Bedriften - Kompendium, fra jon",Bedriften,Handelshøyskolen BI,7,,1,11,58,12720,48,Isaac,Henderson,8252012548
3325166,13080584,2020-11-30 22:52:01,"Vangen, Exphil - Karakter: B",Examen philosophicum,Universitetet i Oslo,10,,1,5,10,2752,49,Christopher,Romero,4019894641
3365896,13020836,2020-11-30 22:51:56,Sammendrag-kompendie,Bedriften,Handelshøyskolen BI,7,,1,6,55,20766,50,Thomas,Wallace,7959540877
10243544,12847066,2020-11-30 22:51:48,Met102 innlevering 4 - Godkjent oppgave 4 kvantitativ metode,Samfunnsvitskapleg metode,Universitetet i Bergen,8,,1,0,10,2050,51,David,Howard,1635473376
10390973,13020836,2020-11-30 22:51:46,Bedrift - Notater fra egentsudier fra pensum,Bedriften,Handelshøyskolen BI,7,,0,0,29,5069,52,Jodi,Barajas,4580279725
5899447,9379640,2020-11-30 22:51:31,Situasjonstilpasset ledelse - forelesningsnotat,"Psykologi, organisasjon og ledelse",Handelshøyskolen BI,3,,1,0,4,432,53,Stephanie,Clements,9516888229
2057458,10276822,2020-11-30 22:51:19,Praktisk økonomi og virksomhetsstyring sammendrag BØK3551,Praktisk økonomi og virksomhetsstyring,Handelshøyskolen BI,7,,1,33,83,10794,54,Kaylee,Flowers,9601430893
323291,9025320,2020-11-30 22:51:10,"Summary -  Plato, Aristotle, Descrates, Hume, Kant",Examen philosophicum,Universitetet i Oslo,7,,1,15,64,15587,55,Melinda,Kane,5118216948
2036442,11616900,2020-11-30 22:50:30,Kortsvar-bedriften - Sammendrag Bedriften,Bedriften,Handelshøyskolen BI,7,,1,228,21,5567,56,Susan,Wilson,9015402074
10231605,13089516,2020-11-30 22:50:17,Kunnskapsmål og kortssvarspørsmål til kapittelet bærekraft og bedriften,Bedriften,Handelshøyskolen BI,6,,1,-2,1,121,57,Chad,Trevino,1179043838
10231605,13089516,2020-11-30 22:50:14,Kunnskapsmål og kortssvarspørsmål til kapittelet bærekraft og bedriften,Bedriften,Handelshøyskolen BI,6,,1,-2,1,121,58,Michael,Jones,3801801167
3233414,6356750,2020-11-30 22:50:05,Peter Singer - Alle dyr er likeverdige,Examen philosophicum,Universitetet i Oslo,10,,1,11,4,838,59,Veronica,Thomas,6542112686
8343750,11467706,2020-11-30 22:49:55,Mikrober,Mennesket og grunnleggende fysiologiske behov,Oslomet - storbyuniversitetet,3,,0,0,6,2442,60,Brian,Thompson,1215085630
6116277,12260156,2020-11-30 22:49:55,Kortsvarspørsmål bedriften 2018,Bedriften,Handelshøyskolen BI,7,,1,0,57,20745,61,Lawrence,Henry,1522153084
3273053,11467706,2020-11-30 22:49:36,"Eksamen 2017, spørsmål og svar",Mennesket og grunnleggende fysiologiske behov,Oslomet - storbyuniversitetet,4,,0,6,5,884,62,William,Lamb,4420404946
9313498,8130658,2020-11-30 22:49:13,MET102 svar på småspørsmål,Samfunnsvitskapleg metode,Universitetet i Bergen,6,,1,5,19,7148,63,Darlene,Turner,9818485557
6409924,12691404,2020-11-30 22:49:08,Teorier om påvirkning av selvoppfattelse (Rosenberg:Bandura),Motivasjonspsykologi,Universitetet i Bergen,7,,1,4,7,985,64,Raymond,Thompson,1330564218
10392321,12161510,2020-11-30 22:49:04,Sammendrag bedriften,Bedriften,Handelshøyskolen BI,7,,0,1,9,3492,65,John,Love,7086569813
6398103,11467706,2020-11-30 22:48:58,"Eksamen 1 Mars 2018, spørsmål",Mennesket og grunnleggende fysiologiske behov,Oslomet - storbyuniversitetet,4,,0,2,10,3908,66,Michael,Rowland,3644690269
6007705,11544944,2020-11-30 22:48:58,De tre industrielle revolusjoner,Bedriften,Handelshøyskolen BI,3,,0,0,2,439,67,Jennifer,Willis,7503917650
6537312,11576454,2020-11-30 22:48:42,Kortsvar bedriften fullført utgave,Bedriften,Handelshøyskolen BI,9,,0,1,23,8252,68,Brett,Bailey,3748453106
10395371,12161510,2020-11-30 22:48:25,Kap4 Egeninteressens problem,Bedriften,Handelshøyskolen BI,7,,0,0,3,1465,69,Diane,Scott,8764415730
10364077,12938926,2020-11-30 22:48:20,Bedøk eksamen 2020 oppgave,Bedriftsøkonomisk analyse,Handelshøyskolen BI,4,,1,0,10,2614,70,Stacy,Reilly,4826926033
10364077,12938926,2020-11-30 22:47:53,Bedøk eksamen 2020 oppgave,Bedriftsøkonomisk analyse,Handelshøyskolen BI,4,,1,0,10,2614,71,Colleen,Mcfarland,1753113681
10364077,12938926,2020-11-30 22:47:49,Bedøk eksamen 2020 oppgave,Bedriftsøkonomisk analyse,Handelshøyskolen BI,4,,1,0,10,2614,72,Anita,Brown,8256494447
3177668,13105486,2020-11-30 22:47:46,Markedsføring-Sammendrag,Markedsføring-grunnkurs,Norges teknisk-naturvitenskapelige universitet,7,,1,54,88,33154,73,Paul,Terry,7629255647
7524968,12169970,2020-11-30 22:47:39,Eksamenspørsmål i exphil,Examen philosophicum,Universitetet i Oslo,4,,0,3,6,1374,74,Anna,Kane,221810672
10364077,12938926,2020-11-30 22:47:38,Bedøk eksamen 2020 oppgave,Bedriftsøkonomisk analyse,Handelshøyskolen BI,4,,1,0,10,2614,75,Natalie,Nicholson,2498833049
10141755,13205720,2020-11-30 22:47:32,Canvas Columna Thorax Stud SPM,"Anatomi, fysiologi og patologi",Høgskulen på Vestlandet,8,,0,0,4,936,76,Catherine,Summers,577245939
3242278,11467706,2020-11-30 22:47:27,"Kapittel 2 Mikrober, helse og sykdom",Mennesket og grunnleggende fysiologiske behov,Oslomet - storbyuniversitetet,1,,1,10,7,2687,77,Kelli,Stevens,1654475781
6093251,11544944,2020-11-30 22:47:26,DE TRE Industrielle Revolusjonene,Bedriften,Handelshøyskolen BI,3,,1,0,5,835,78,Gregory,Ramirez,7555859543
6557598,12169970,2020-11-30 22:47:24,Eksamensbesvarelse ExPhil - Karakter A,Examen philosophicum,Universitetet i Oslo,4,,1,5,8,1964,79,Emily,Moore,2134156861
6537312,11576454,2020-11-30 22:47:21,Kortsvar bedriften fullført utgave,Bedriften,Handelshøyskolen BI,9,,0,1,23,8252,80,Christine,Hernandez,4337742412
9741378,13204906,2020-11-30 22:47:18,Formler til eksamen(vår),Matematikk for økonomer,Handelshøyskolen BI,3,,1,2,2,0,81,Brianna,Tucker,5211141480
10141755,13205720,2020-11-30 22:47:15,Canvas Columna Thorax Stud SPM,"Anatomi, fysiologi og patologi",Høgskulen på Vestlandet,8,,0,0,4,936,82,Michelle,Duncan,3345748193
10395584,12169970,2020-11-30 22:47:13,Biologi,Examen philosophicum,Universitetet i Oslo,3,,1,0,3,741,83,Allison,Taylor,7074680647
4624197,12847066,2020-11-30 22:46:54,Met102 kvantitativ oppgave,Samfunnsvitskapleg metode,Universitetet i Bergen,10,,1,2,14,2209,84,Brooke,White,8401555026
9149578,11467706,2020-11-30 22:46:50,Oppgaver; Mikrobiologi,Mennesket og grunnleggende fysiologiske behov,Oslomet - storbyuniversitetet,7,,1,4,14,4567,85,Pamela,Reed,1499269757
9338453,11576454,2020-11-30 22:46:45,Bedriften kortsvar,Bedriften,Handelshøyskolen BI,9,,1,-2,12,2773,86,Edward,Thompson,1520587117
10088464,13204906,2020-11-30 22:46:44,Matematikk for økonomer- eksamen,Matematikk for økonomer,Handelshøyskolen BI,4,,1,0,9,147,87,Robert,Moreno,9616579838
5927338,12499026,2020-11-30 22:46:06,Met102 eksamen - Sammendrag Samfunnsvitskapleg metode,Samfunnsvitskapleg metode,Universitetet i Bergen,7,,1,8,34,5680,88,Cindy,Mills,983370689
2036442,12161510,2020-11-30 22:46:02,Kortsvar-bedriften - Sammendrag Bedriften,Bedriften,Handelshøyskolen BI,7,,1,228,21,5567,89,Jessica,Burke,5660421891
2036442,11576454,2020-11-30 22:45:59,Kortsvar-bedriften - Sammendrag Bedriften,Bedriften,Handelshøyskolen BI,7,,1,228,21,5567,90,John,Jimenez,174893360
2074305,13205890,2020-11-30 22:45:51,Destruktivt medarbeiderskap,Personalpsykologi,Universitetet i Bergen,7,,1,1,9,3029,91,Meredith,Willis,7421259794
3353648,8130658,2020-11-30 22:45:39,"Prøve/øvelseseksamen 2009, spørsmål og svar",Samfunnsvitskapleg metode,Universitetet i Bergen,4,,0,5,20,4961,92,Diana,David,8161666312
2074309,13205890,2020-11-30 22:45:38,Eldre arbeidstakere - Notater knyttet til læringsmål og tidligere eksamensoppgaver i faget. Notatene,Personalpsykologi,Universitetet i Bergen,7,,0,3,3,538,93,Logan,Mosley,6638232195
5461265,12161510,2020-11-30 22:45:31,Selskapsrett pdf,Rettslære,Oslomet - storbyuniversitetet,7,,1,2,17,4086,94,Andrew,Logan,9790623457
2074306,13205890,2020-11-30 22:45:27,"Motivasjon, kompensasjon og belønning",Personalpsykologi,Universitetet i Bergen,7,,0,3,1,122,95,Elizabeth,Best,7305181544
2715666,9807222,2020-11-30 22:45:15,"SWOT-analyse 1 - Oppskrift på hvordan du skal utarbeide en swot analyse også kalt situasjonsanalyse.
",Markedsføringsledelse,Handelshøyskolen BI,6,,0,-2,2,224,96,Adrienne,Gilmore,514701673
2074315,13205890,2020-11-30 22:45:14,Rekruttering og seleksjon,Personalpsykologi,Universitetet i Bergen,7,,0,3,2,305,97,Robert,Gordon,2465777142
4261801,13105390,2020-11-30 22:45:08,Kortsvarsspørsmål – Bedriften,Bedriften,Handelshøyskolen BI,8,,1,22,51,14802,98,Kellie,Sanchez,7509635596
1608806,12495808,2020-11-30 22:45:09,"Muskler, feste, utspring, funksjon",Bevegelsesapparatets anatomi,Norges teknisk-naturvitenskapelige universitet,3,,1,157,16,4634,99,Emily,Smith,7390488320
2074311,13205890,2020-11-30 22:44:50,Jobbtilfredshet og engasjement,Personalpsykologi,Universitetet i Bergen,7,,1,7,5,1212,100,Alan,Riddle,5913606751
2036442,13204906,2020-11-30 22:44:35,Kortsvar-bedriften - Sammendrag Bedriften,Bedriften,Handelshøyskolen BI,7,,1,228,21,5567,101,Anthony,Jordan,4373006083
2074320,13205890,2020-11-30 22:44:29,Organisasjonstilhørighet,Personalpsykologi,Universitetet i Bergen,7,,0,11,3,378,102,Jon,Davis,2807651581
3353652,8130658,2020-11-30 22:44:26,"Eksamen 2016, spørsmål",Samfunnsvitskapleg metode,Universitetet i Bergen,4,,1,-1,2,344,103,Yolanda,Spencer,6455864790
321671,13104172,2020-11-30 22:44:24,"Exam, Analyse av mellomspråktekst",Innføring i norsk som andrespråk,Universitetet i Oslo,4,,1,3,4,1265,104,Christopher,Elliott,9141378954
2074323,13205890,2020-11-30 22:44:09,Kompensasjon og motivasjon,Personalpsykologi,Universitetet i Bergen,7,,1,14,7,1920,105,Tracey,Jones,2575774619
3351072,8023186,2020-11-30 22:43:57,OLI-modellen - Sammendrag,Bedriften,Handelshøyskolen BI,3,,0,0,2,258,106,Jason,Smith,3132743624
5659944,12847066,2020-11-30 22:43:37,Multivariat-regresjonsanalyse,Samfunnsvitskapleg metode,Universitetet i Bergen,7,,1,13,12,2629,107,John,King,5490557433
4622994,13205890,2020-11-30 22:43:34,"Psyk 106 - Notater - Anette Harris
",Personalpsykologi,Universitetet i Bergen,3,,1,7,44,6929,108,Jose,Buck,7578815604
4259117,11467706,2020-11-30 22:43:31,Infeksjonssykdommer,Sykdom og helsesvikt,Universitetet i Agder,3,,0,1,32,6238,109,Linda,Williams,7652938273
5541184,12343332,2020-11-30 22:43:33,Ex phil – Filosofer sammendrag,Examen philosophicum,Universitetet i Oslo,7,,1,3,5,1545,110,Jonathan,Brock,6194890087
3226692,8023186,2020-11-30 22:43:30,Bedriften 22 - Foredragsnotater 3,Bedriften,Handelshøyskolen BI,3,,0,1,1,257,111,Angela,Murphy,9007386975
4090800,11467706,2020-11-30 22:43:14,Hygiene - Marie Undheim., Grunnleggende sykepleieÅr 1,Universitetet i Stavanger,3,,0,1,2,381,112,Jose,Ross,547632318
2145730,13138964,2020-11-30 22:42:58,PSYK109 - skolen som læringsarena - kap 1 - læring,Motivasjonspsykologi,Universitetet i Bergen,3,,1,6,6,2252,113,Mark,Sullivan,4822116053
3332576,11064490,2020-11-30 22:42:51,Exphil 1 (filosofi) - oppsummering,Examen philosophicum,Universitetet i Oslo,7,,1,22,20,5632,114,Nicholas,Baker,63167100
7634786,13152802,2020-11-30 22:42:23,Respirasjonssystemet,Anatomi,Høgskolen i Østfold,7,,0,3,25,3348,115,Cory,Harmon,7590423844
3332576,13080584,2020-11-30 22:42:15,Exphil 1 (filosofi) - oppsummering,Examen philosophicum,Universitetet i Oslo,7,,1,22,20,5632,116,Daniel,Gill,5609943742
4057655,13152802,2020-11-30 22:42:05,24.08.17 Sirkalsjonssystemet og respirasjonssystemet,Medisin og odontologi 1. studieår,Norges Arktiske Universitet,3,,0,4,3,548,117,Ryan,Wilkerson,4347204363
7634786,13152802,2020-11-30 22:41:00,Respirasjonssystemet,Anatomi,Høgskolen i Østfold,7,,0,3,25,3348,118,Heidi,Ellis,9354643017
10318966,13201920,2020-11-30 22:40:55,Kapittel 4 - Bedriften,Bedriften,Handelshøyskolen BI,3,,1,1,6,1611,119,Brent,Burke,9160403861
3272611,12645078,2020-11-30 22:40:41,Huden K,"Anatomi, fysiologi og biokjemi",Oslomet - storbyuniversitetet,6,,0,-1,2,258,120,Christina,Khan,4456981023
6167990,12690472,2020-11-30 22:40:06,Kortsvar - Multinasjonale selskap og globalisering,Bedriften,Handelshøyskolen BI,6,,1,1,2,449,121,William,Sullivan,2204212228
10375367,13201920,2020-11-30 22:40:01,Oppsummering av bedriften,Bedriften,Handelshøyskolen BI,3,,1,9,8,1294,122,Emily,Estrada,5608027030
10377388,11560610,2020-11-30 22:39:40,Exphil eksamen vår 2020 argumenterende tekst,Examen philosophicum,Universitetet i Oslo,4,,0,0,5,1054,123,Autumn,Parker,7206463303
9162003,11411534,2020-11-30 22:39:27,"Eksamen 17 Juni 2020, spørsmål og svar",Bedriften,Handelshøyskolen BI,4,,0,-1,3,852,124,Amanda,Henderson,5071713044
4919814,12645078,2020-11-30 22:39:22,Læringsutbytte sykepleievitenskap 1,Sykepleievitenskap 2,Universitetet i Sørøst-Norge,7,,0,2,61,16038,125,John,Johnson,5658598110
5927338,8130658,2020-11-30 22:39:17,Met102 eksamen - Sammendrag Samfunnsvitskapleg metode,Samfunnsvitskapleg metode,Universitetet i Bergen,7,,1,8,34,5680,126,Steven,Martin,1868807467
4622994,13205890,2020-11-30 22:39:02,"Psyk 106 - Notater - Anette Harris
",Personalpsykologi,Universitetet i Bergen,3,,1,7,44,6929,127,Angela,Oneill,4624429281
2251510,12198678,2020-11-30 22:38:26,Kapittel 3 - Diskontering,Finans,Handelshøyskolen BI,7,,0,-1,2,270,128,Heather,Mcintosh,9445679182
9337851,12080478,2020-11-30 22:38:19,Bedriften kortsvarsspm,Bedriften,Handelshøyskolen BI,3,,1,50,44,13160,129,Rebecca,Larson,4635119156
3954798,12645078,2020-11-30 22:38:15,Svar på læringsutbytte i Genetikk,Sykepleie,Universitetet i Sørøst-Norge,5,,0,3,4,1126,130,Steven,Williams,9435791626
6442742,11613112,2020-11-30 22:38:09,Viktige formler i Bedriftsøkonomisk analyse,Bedriftsøkonomisk analyse,Handelshøyskolen BI,3,,1,12,2,189,131,Ryan,Bennett,5265164197
2783828,13202914,2020-11-30 22:37:42,"Eksamen 2012, svar",Velferd og økonomisk politikk,Universitetet i Bergen,4,,0,0,3,1052,132,Elizabeth,Stokes,3514452761
9177013,12947828,2020-11-30 22:37:40,Eksamensspørsmål,Examen philosophicum,Universitetet i Oslo,6,,1,1,2,332,133,Tiffany,Armstrong,3052291096
3332577,13093832,2020-11-30 22:37:36,Exphil 2 (etikk) - oppsummering,Examen philosophicum,Universitetet i Oslo,7,,1,14,4,1319,134,Patrick,Brown,9721113957
6236657,11544944,2020-11-30 22:37:00,"Kapittel 2, Aksjeselskapets historie",Bedriften,Handelshøyskolen BI,3,,1,6,5,1142,135,Heather,Peterson,176143361
3332576,13093832,2020-11-30 22:36:55,Exphil 1 (filosofi) - oppsummering,Examen philosophicum,Universitetet i Oslo,7,,1,22,20,5632,136,Kimberly,Johnston,7814337841
10238722,12169918,2020-11-30 22:36:33,Innleveringsoppgave juridisk metode,Jus I,Handelshøyskolen BI,6,,1,0,3,1162,137,Nicholas,Gross,351899315
5852925,11544944,2020-11-30 22:36:22,Kapittel 4,Bedriften,Handelshøyskolen BI,7,,0,3,2,439,138,Steven,Keller,4637653421
8304587,11560610,2020-11-30 22:36:21,Hjemmeeksamen Exphil 2019,Examen philosophicum,Universitetet i Oslo,4,,1,0,5,911,139,Catherine,Huerta,1658589367
6235777,12879454,2020-11-30 22:36:04,Løsningsforslag øving 1,Samfunnsvitenskapelig forskningsmetode,Norges teknisk-naturvitenskapelige universitet,3,,0,0,3,584,140,Charles,Taylor,7645435600
3272611,12645078,2020-11-30 22:36:00,Huden K,"Anatomi, fysiologi og biokjemi",Oslomet - storbyuniversitetet,6,,0,-1,2,258,141,Alicia,Duncan,2342107913
6872177,12326112,2020-11-30 22:35:58,Skriv en argumenterende tekst med utgangspunkt i Peter Singers tekst,Examen philosophicum - English option,Universitetet i Oslo,8,,1,0,3,761,142,Whitney,Reeves,3261199453
2107476,12879454,2020-11-30 22:35:50,SOS1002 - Foredragsnotater 1,Samfunnsvitenskapelig forskningsmetode,Norges teknisk-naturvitenskapelige universitet,3,,0,3,10,1960,143,Jennifer,Moore,5112575249
4081494,12982212,2020-11-30 22:35:47,Utviklingspsykologi - notater,Innføring i psykologiske grunnbegreper,Oslomet - storbyuniversitetet,3,,1,1,5,1348,144,Richard,Hall,7732923575
3214399,12326112,2020-11-30 22:35:42,Peter Singer,Examen philosophicum,Universitetet i Oslo,5,,1,-1,2,295,145,David,Tucker,7889446648
9272431,11543196,2020-11-30 22:35:44,Notater ME-110-1 Praktisk Samfunnsforskning,Praktisk samfunnsforskning,Universitetet i Agder,7,,0,0,4,513,146,Rita,Williams,6096491232
6077683,12568214,2020-11-30 22:35:33,BØK 3422 Arbeidskrav 6,Bedriftsøkonomisk analyse,Handelshøyskolen BI,8,,1,0,5,736,147,Dennis,Johnson,8505462610
10377388,11560610,2020-11-30 22:35:28,Exphil eksamen vår 2020 argumenterende tekst,Examen philosophicum,Universitetet i Oslo,4,,0,0,5,1054,148,Patrick,Peterson,130743800
6333785,11544944,2020-11-30 22:35:29,Kortsvarsspørsmål til HIS340 Bedriften høsten 2019,Bedriften,Handelshøyskolen BI,6,,1,10,27,9384,149,Amy,Reyes,8523702364
3973382,12645078,2020-11-30 22:35:16,Vev og huden - Anatomi,Sykepleie,Universitetet i Sørøst-Norge,3,,0,0,5,978,150,Angela,Jennings,5585619554
6556152,9655468,2020-11-30 22:35:15,"Pensum, Bedriften - I dette dokumentet er det både kortsvarsspørsmål og kompetansmålene for hvert",Bedriften,Handelshøyskolen BI,7,,1,2,63,18404,151,Kevin,Horn,335552152
